Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	Characteristics[biological replicate]	Characteristics[set]	Characteristics[individual]	Material Type	assay name	technology type	comment[separation]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[set]	Factor Value[individual]
donor 5	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	normal	1	1	donor 5	organism part	run 2	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr02_160718172834.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr02_160718172834.raw	1	2	TMT128C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.03 Da	1	donor 5
donor 6	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	normal	1	1	donor 6	organism part	run 2	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr02_160718172834.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr02_160718172834.raw	1	2	TMT129N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.03 Da	1	donor 6
donor 7	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	normal	1	1	donor 7	organism part	run 2	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr02_160718172834.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr02_160718172834.raw	1	2	TMT129C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.03 Da	1	donor 7
donor 8	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	normal	1	1	donor 8	organism part	run 2	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr02_160718172834.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr02_160718172834.raw	1	2	TMT130N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.03 Da	1	donor 8
Internal Standard 1	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	normal	1	1	Internal Standard	organism part	run 2	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr02_160718172834.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr02_160718172834.raw	1	2	TMT130C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.03 Da	1	Internal Standard
Internal Standard 2	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	normal	1	1	Internal Standard	organism part	run 2	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr02_160718172834.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr02_160718172834.raw	1	2	TMT131	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.03 Da	1	Internal Standard
donor 1	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	normal	1	1	donor 1	organism part	run 3	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr03_160718184659.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr03_160718184659.raw	1	3	TMT126	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.03 Da	1	donor 1
donor 2	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	normal	1	1	donor 2	organism part	run 3	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr03_160718184659.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr03_160718184659.raw	1	3	TMT127N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.03 Da	1	donor 2
donor 3	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	normal	1	1	donor 3	organism part	run 3	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr03_160718184659.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr03_160718184659.raw	1	3	TMT127C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.03 Da	1	donor 3
donor 4	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	normal	1	1	donor 4	organism part	run 3	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr03_160718184659.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr03_160718184659.raw	1	3	TMT128N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.03 Da	1	donor 4
donor 5	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	normal	1	1	donor 5	organism part	run 3	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr03_160718184659.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr03_160718184659.raw	1	3	TMT128C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.03 Da	1	donor 5
donor 6	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	normal	1	1	donor 6	organism part	run 3	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr03_160718184659.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr03_160718184659.raw	1	3	TMT129N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.03 Da	1	donor 6
donor 7	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	normal	1	1	donor 7	organism part	run 3	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr03_160718184659.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr03_160718184659.raw	1	3	TMT129C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.03 Da	1	donor 7
donor 8	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	normal	1	1	donor 8	organism part	run 3	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr03_160718184659.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr03_160718184659.raw	1	3	TMT130N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.03 Da	1	donor 8
Internal Standard 1	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	normal	1	1	Internal Standard	organism part	run 3	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr03_160718184659.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr03_160718184659.raw	1	3	TMT130C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.03 Da	1	Internal Standard
