Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[ancestry category]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[disease]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[biological replicate]	Assay Name	Comment[fraction identifier]	Comment[technical replicate]	Comment[file uri]	Comment[instrument]	Comment[MS2 analyzer type]	Comment[label]	Comment[cleavage agent details]	Comment[cleavage agent details]	Comment[modification parameters]	Comment[modification parameters]	Comment[modification parameters]	Comment[modification parameters]	Comment[collision energy]	Comment[dissociation method]	Comment[precursor mass tolerance]	Comment[fragment mass tolerance]	Comment[data file]	factor value[time]	factor value[treatment]
Sample 104	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 238	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/ctr_48h_R1_IMAC_2.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	ctr_48h_R1_IMAC_2.raw	48h	no drugs (WiDr Control)
Sample 104	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 239	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/ctr_48h_R1_IMAC_3.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	ctr_48h_R1_IMAC_3.raw	48h	no drugs (WiDr Control)
Sample 105	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 240	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/ctr_6h_R1_IMAC_1.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	ctr_6h_R1_IMAC_1.raw	6h	no drugs (WiDr Control)
Sample 105	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 241	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/ctr_6h_R1_IMAC_2.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	ctr_6h_R1_IMAC_2.raw	6h	no drugs (WiDr Control)
Sample 105	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 242	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/ctr_6h_R1_IMAC_3.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	ctr_6h_R1_IMAC_3.raw	6h	no drugs (WiDr Control)
Sample 106	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	2	run 243	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/GEF_24h_R2_IMAC_1.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	GEF_24h_R2_IMAC_1.raw	24h	3 ¦Ìm gefitinib (EGFRi)
Sample 106	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	2	run 244	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/GEF_24h_R2_IMAC_2.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	GEF_24h_R2_IMAC_2.raw	24h	3 ¦Ìm gefitinib (EGFRi)
Sample 106	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	2	run 245	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/GEF_24h_R2_IMAC_3.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	GEF_24h_R2_IMAC_3.raw	24h	3 ¦Ìm gefitinib (EGFRi)
Sample 107	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	2	run 246	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/GEF_2h_R2_IMAC_2.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	GEF_2h_R2_IMAC_2.raw	2h	3 ¦Ìm gefitinib (EGFRi)
Sample 107	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	2	run 247	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/GEF_2h_R2_IMAC_3.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	GEF_2h_R2_IMAC_3.raw	2h	3 ¦Ìm gefitinib (EGFRi)
Sample 108	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	2	run 248	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/GEF_48h_R2_IMAC_1.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	GEF_48h_R2_IMAC_1.raw	48h	3 ¦Ìm gefitinib (EGFRi)
Sample 108	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	2	run 249	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/GEF_48h_R2_IMAC_2.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	GEF_48h_R2_IMAC_2.raw	48h	3 ¦Ìm gefitinib (EGFRi)
Sample 108	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	2	run 250	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/GEF_48h_R2_IMAC_3.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	GEF_48h_R2_IMAC_3.raw	48h	3 ¦Ìm gefitinib (EGFRi)
Sample 109	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	2	run 251	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/GEF_6h_R2_IMAC_2.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	GEF_6h_R2_IMAC_2.raw	6h	3 ¦Ìm gefitinib (EGFRi)
Sample 109	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	2	run 252	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/GEF_6h_R2_IMAC_3.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	GEF_6h_R2_IMAC_3.raw	6h	3 ¦Ìm gefitinib (EGFRi)
Sample 110	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	2	run 253	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/KO_PLX_24h_R2_IMAC_1.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	KO_PLX_24h_R2_IMAC_1.raw	24h	"3 ¦Ìm PLX4032 (BRAFi, BRAFi in PTPN11 KO)"
Sample 110	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	2	run 254	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/KO_PLX_24h_R2_IMAC_2.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	KO_PLX_24h_R2_IMAC_2.raw	24h	"3 ¦Ìm PLX4032 (BRAFi, BRAFi in PTPN11 KO)"
Sample 110	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	2	run 255	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/KO_PLX_24h_R2_IMAC_3.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	KO_PLX_24h_R2_IMAC_3.raw	24h	"3 ¦Ìm PLX4032 (BRAFi, BRAFi in PTPN11 KO)"
Sample 111	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	2	run 256	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/KO_PLX_2h_R2_IMAC_2.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	KO_PLX_2h_R2_IMAC_2.raw	2h	"3 ¦Ìm PLX4032 (BRAFi, BRAFi in PTPN11 KO)"
Sample 111	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	2	run 257	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/KO_PLX_2h_R2_IMAC_3.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	KO_PLX_2h_R2_IMAC_3.raw	2h	"3 ¦Ìm PLX4032 (BRAFi, BRAFi in PTPN11 KO)"
Sample 112	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	2	run 258	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/KO_PLX_48h_R2_IMAC_1.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	KO_PLX_48h_R2_IMAC_1.raw	48h	"3 ¦Ìm PLX4032 (BRAFi, BRAFi in PTPN11 KO)"
Sample 113	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	2	run 259	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/KO_PLX_48h_R2_IMAC_1_injection2.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	KO_PLX_48h_R2_IMAC_1_injection2.raw	R2	"3 ¦Ìm PLX4032 (BRAFi, BRAFi in PTPN11 KO)"
